Name,Minimum,Maximum,Length,Direction,locus_tag,TPM,RPKM
transcriptional regulator CDS,39272,40240,969,forward,PP_0036,2.48,3.29
transcriptional regulator,39272,40240,969,forward,,2.48,3.29
oprP CDS,40469,41758,1290,forward,PP_0037,2.36,3.14
porin P,40469,41758,1290,forward,,2.36,3.14
hypothetical protein CDS,42057,43082,1026,forward,PP_0039,21.68,28.8
hypothetical protein,42057,43082,1026,forward,,21.68,28.8
hypothetical protein CDS,43210,43434,225,forward,PP_0040,15.18,20.16
hypothetical protein,43210,43434,225,forward,,15.18,20.16
cadA-I CDS,43527,45524,1998,reverse,PP_0041,7.07,9.39
cadmium translocating P-type ATPase,43527,45524,1998,reverse,,7.07,9.39
hypothetical protein CDS,45727,46050,324,reverse,PP_0042,11.39,15.14
hypothetical protein,45727,46050,324,reverse,,11.39,15.14
czcA-I CDS,46213,49374,3162,reverse,PP_0043,3.02,4.01
cation efflux system protein,46213,49374,3162,reverse,,3.02,4.01
czcB-I CDS,49399,50649,1251,reverse,PP_0044,8.01,10.63
cobalt-zinc-cadmium resistance protein,49399,50649,1251,reverse,,8.01,10.63
czcC-I CDS,50718,51989,1272,reverse,PP_0045,4.14,5.49
cobalt-zinc-cadmium resistance protein,50718,51989,1272,reverse,,4.14,5.49
opdT-I CDS,52394,53737,1344,forward,PP_0046,2.06,2.74
tyrosine-specific outer membrane porin D,52394,53737,1344,forward,,2.06,2.74
czcR-II CDS,54227,54901,675,forward,PP_0047,2.73,3.63
response regulator,54227,54901,675,forward,,2.73,3.63
hypothetical protein CDS,55019,55342,324,forward,PP_0048,3.7,4.92
hypothetical protein,55019,55342,324,forward,,3.7,4.92
membrane protein CDS,55444,55971,528,reverse,PP_5423,1.4,1.86
membrane protein,55444,55971,528,reverse,,1.4,1.86
hypothetical protein CDS,56161,57627,1467,reverse,PP_0049,61.91,82.23
hypothetical protein,56161,57627,1467,reverse,,61.91,82.23
hypothetical protein CDS,57640,58089,450,reverse,PP_5424,206.13,273.81
hypothetical protein,57640,58089,450,reverse,,206.13,273.81
hypothetical protein CDS,58777,59184,408,reverse,PP_0050,12.67,16.83
hypothetical protein,58777,59184,408,reverse,,12.67,16.83
sigma-54 dependent transcriptional regulator CDS,59316,60608,1293,reverse,PP_0051,8.85,11.76
sigma-54 dependent transcriptional regulator,59316,60608,1293,reverse,,8.85,11.76
beta-lactamase domain-containing protein CDS,60831,61715,885,forward,PP_0052,148.72,197.55
beta-lactamase domain-containing protein,60831,61715,885,forward,,148.72,197.55
sulfide:quinone oxidoreductase CDS,61756,63024,1269,forward,PP_0053,38.26,50.82
sulfide:quinone oxidoreductase,61756,63024,1269,forward,,38.26,50.82
membrane protein CDS,62982,63839,858,forward,PP_0054,28.24,37.51
membrane protein,62982,63839,858,forward,,28.24,37.51
transcriptional regulator CDS,63828,64715,888,reverse,PP_0055,15.85,21.05
transcriptional regulator,63828,64715,888,reverse,,15.85,21.05
betA-I CDS,64943,66595,1653,forward,PP_0056,25.35,33.67
choline dehydrogenase,64943,66595,1653,forward,,25.35,33.67
major facilitator family transporter CDS,66693,68312,1620,forward,PP_0057,20.45,27.17
major facilitator family transporter,66693,68312,1620,forward,,20.45,27.17
1-acyl-sn-glycerol-3-phosphate acyltransferase CDS,68487,69272,786,reverse,PP_0058,7.4,9.83
1-acyl-sn-glycerol-3-phosphate acyltransferase,68487,69272,786,reverse,,7.4,9.83
gmhB CDS,69319,69846,528,reverse,PP_0059,7.25,9.64
"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",69319,69846,528,reverse,,7.25,9.64
glyS CDS,69850,71904,2055,reverse,PP_0060,8.69,11.54
glycine-tRNA ligase subunit beta,69850,71904,2055,reverse,,8.69,11.54
glyQ CDS,71901,72848,948,reverse,PP_0061,17.72,23.54
glycine-tRNA ligase subunit alpha,71901,72848,948,reverse,,17.72,23.54
tag CDS,72932,73483,552,forward,PP_0062,7.94,10.55
3-methyl-adenine DNA glycosylase I,72932,73483,552,forward,,7.94,10.55
lipid A biosynthesis lauroyl acyltransferase CDS,73525,74412,888,forward,PP_0063,18.45,24.51
lipid A biosynthesis lauroyl acyltransferase,73525,74412,888,forward,,18.45,24.51
hypothetical protein CDS,74510,74824,315,reverse,PP_0064,40,53.13
hypothetical protein,74510,74824,315,reverse,,40,53.13
trkA CDS,74836,76209,1374,reverse,PP_0065,11.22,14.9
TrK potassium transporter NAD-binding protein,74836,76209,1374,reverse,,11.22,14.9
rsmB CDS,76233,77543,1311,reverse,PP_0066,3.77,5
ribosomal RNA small subunit methyltransferase B,76233,77543,1311,reverse,,3.77,5
fmt CDS,77540,78472,933,reverse,PP_0067,2.97,3.94
methionyl-tRNA formyltransferase,77540,78472,933,reverse,,2.97,3.94
def-I CDS,78533,79039,507,reverse,PP_0068,104.31,138.56
peptide deformylase,78533,79039,507,reverse,,104.31,138.56
rossmann fold nucleotide-binding protein CDS,79246,80343,1098,forward,PP_0069,13.11,17.42
rossmann fold nucleotide-binding protein,79246,80343,1098,forward,,13.11,17.42
tsaC CDS,80386,80943,558,forward,PP_0070,12.9,17.14
threonylcarbamoyl-AMP synthase,80386,80943,558,forward,,12.9,17.14
hypothetical protein CDS,81077,81277,201,forward,PP_5425,41.33,54.9
hypothetical protein,81077,81277,201,forward,,41.33,54.9
hypothetical protein CDS,81691,82023,333,forward,PP_0071,7.48,9.94
hypothetical protein,81691,82023,333,forward,,7.48,9.94
qor-I CDS,82151,83128,978,reverse,PP_0072,47.28,62.8
quinone oxidoreductase,82151,83128,978,reverse,,47.28,62.8
hemF CDS,83261,84172,912,forward,PP_0073,19.08,25.34
coproporphyrinogen-III oxidase,83261,84172,912,forward,,19.08,25.34
aroE CDS,84198,85022,825,forward,PP_0074,7.78,10.33
shikimate 5-dehydrogenase,84198,85022,825,forward,,7.78,10.33
choline sulfate transporter CDS,85152,86717,1566,reverse,PP_0075,10.67,14.17
choline sulfate transporter,85152,86717,1566,reverse,,10.67,14.17
choline betaine-binding protein CDS,86862,87785,924,reverse,PP_0076,102.54,136.2
choline betaine-binding protein,86862,87785,924,reverse,,102.54,136.2
betC CDS,87800,89317,1518,reverse,PP_0077,5.56,7.39
choline-sulfatase,87800,89317,1518,reverse,,5.56,7.39
transcriptional regulator CDS,89426,90325,900,forward,PP_0079,7.9,10.49
transcriptional regulator,89426,90325,900,forward,,7.9,10.49
hypothetical protein CDS,90447,91064,618,reverse,PP_0080,15.98,21.23
hypothetical protein,90447,91064,618,reverse,,15.98,21.23
hypothetical protein CDS,91078,91449,372,forward,PP_0081,39.95,53.06
hypothetical protein,91078,91449,372,forward,,39.95,53.06
trpA CDS,91570,92379,810,reverse,PP_0082,9.86,13.09
tryptophan synthase subunit alpha,91570,92379,810,reverse,,9.86,13.09
trpB CDS,92376,93593,1218,reverse,PP_0083,18.91,25.11
tryptophan synthase subunit beta,92376,93593,1218,reverse,,18.91,25.11
trpI CDS,93704,94600,897,forward,PP_0084,13.99,18.59
HTH-type transcriptional regulator TrpI,93704,94600,897,forward,,13.99,18.59
hypothetical protein CDS,94597,95085,489,reverse,PP_0085,214.04,284.31
hypothetical protein,94597,95085,489,reverse,,214.04,284.31
hypothetical protein CDS,95071,95286,216,forward,PP_0086,559.77,743.55
hypothetical protein,95071,95286,216,forward,,559.77,743.55
hypothetical protein CDS,95345,95608,264,forward,PP_0087,283.19,376.16
hypothetical protein,95345,95608,264,forward,,283.19,376.16
alkanal monooxygenase CDS,95680,96684,1005,reverse,PP_0088,11.57,15.37
alkanal monooxygenase,95680,96684,1005,reverse,,11.57,15.37
osmC CDS,96837,97262,426,forward,PP_0089,31.09,41.3
stress-induced peroxiredoxin,96837,97262,426,forward,,31.09,41.3
hypothetical protein CDS,97275,97571,297,forward,PP_0090,221.73,294.53
hypothetical protein,97275,97571,297,forward,,221.73,294.53
putative lipoprotein CDS,97607,98020,414,reverse,PP_0091,263.52,350.03
putative lipoprotein,97607,98020,414,reverse,,263.52,350.03
putative lipoprotein CDS,98076,98489,414,reverse,PP_0092,33.66,44.72
putative lipoprotein,98076,98489,414,reverse,,33.66,44.72
zinc protease CDS,98575,99651,1077,forward,PP_0093,15.51,20.6
zinc protease,98575,99651,1077,forward,,15.51,20.6
5'-nucleotidase CDS,99758,100408,651,reverse,PP_0094,33.32,44.26
5'-nucleotidase,99758,100408,651,reverse,,33.32,44.26
hypothetical protein CDS,100530,101078,549,reverse,PP_0095,16.14,21.44
hypothetical protein,100530,101078,549,reverse,,16.14,21.44
prlC CDS,101181,103232,2052,forward,PP_0096,80.63,107.1
oligopeptidase A,101181,103232,2052,forward,,80.63,107.1
hypothetical protein CDS,103229,103510,282,forward,PP_0097,59.73,79.34
hypothetical protein,103229,103510,282,forward,,59.73,79.34
hypothetical protein CDS,103529,103702,174,forward,PP_0098,21.75,28.89
hypothetical protein,103529,103702,174,forward,,21.75,28.89
hypothetical protein CDS,103842,104900,1059,forward,PP_0099,10.37,13.78
hypothetical protein,103842,104900,1059,forward,,10.37,13.78
cynT CDS,105207,105926,720,forward,PP_0100,113.45,150.7
carbonic anhydrase,105207,105926,720,forward,,113.45,150.7
sulfate transporter CDS,106134,107651,1518,forward,PP_0101,3.16,4.2
sulfate transporter,106134,107651,1518,forward,,3.16,4.2
hypothetical protein CDS,107799,108440,642,reverse,PP_5426,35.94,47.74
hypothetical protein,107799,108440,642,reverse,,35.94,47.74
cytochrome c oxidase subunit 2 CDS,108810,109937,1128,forward,PP_0103,619.7,823.15
cytochrome c oxidase subunit 2,108810,109937,1128,forward,,619.7,823.15
ctaD CDS,109981,111570,1590,forward,PP_0104,168.08,223.26
cytochrome c oxidase subunit 1,109981,111570,1590,forward,,168.08,223.26
cytochrome c oxidase assembly protein CDS,111580,112146,567,forward,PP_0105,578.86,768.9
cytochrome c oxidase assembly protein,111580,112146,567,forward,,578.86,768.9
cytochrome c oxidase subunit 3 CDS,112163,113050,888,forward,PP_0106,365.61,485.64
cytochrome c oxidase subunit 3,112163,113050,888,forward,,365.61,485.64
hypothetical protein CDS,113082,113285,204,reverse,PP_5427,915.97,1216.69
hypothetical protein,113082,113285,204,reverse,,915.97,1216.69
hypothetical protein CDS,113337,114074,738,forward,PP_0107,159.83,212.31
hypothetical protein,113337,114074,738,forward,,159.83,212.31
hypothetical protein CDS,114043,114624,582,forward,PP_0108,92.3,122.6
hypothetical protein,114043,114624,582,forward,,92.3,122.6
membrane protein CDS,114634,115713,1080,forward,PP_0109,108.71,144.4
membrane protein,114634,115713,1080,forward,,108.71,144.4
CyoE-like protoheme IX farnesyltransferase CDS,115698,116591,894,forward,PP_0110,149.8,198.99
CyoE-like protoheme IX farnesyltransferase,115698,116591,894,forward,,149.8,198.99
electron transport protein SCO1/SenC CDS,116588,117220,633,forward,PP_0111,129.63,172.18
electron transport protein SCO1/SenC,116588,117220,633,forward,,129.63,172.18
metQ CDS,117314,118084,771,reverse,PP_0112,44.41,58.99
methionine ABC transporter substrate-binding protein,117314,118084,771,reverse,,44.41,58.99
metI CDS,118149,118820,672,reverse,PP_0113,25.34,33.66
ABC transporter permease,118149,118820,672,reverse,,25.34,33.66
metN CDS,118820,119827,1008,reverse,PP_0114,8.47,11.25
methionine ABC transporter ATP-binding protein,118820,119827,1008,reverse,,8.47,11.25
katE CDS,120055,122190,2136,forward,PP_0115,12.92,17.16
hydroperoxidase,120055,122190,2136,forward,,12.92,17.16
putative lipoprotein CDS,122251,122958,708,reverse,PP_0116,66.1,87.79
putative lipoprotein,122251,122958,708,reverse,,66.1,87.79
znuB CDS,123085,123867,783,reverse,PP_0117,10.55,14.01
zinc ABC transporter permease,123085,123867,783,reverse,,10.55,14.01
znuC CDS,123860,124633,774,reverse,PP_0118,29.63,39.36
zinc ABC transporter ATP-binding protein,123860,124633,774,reverse,,29.63,39.36
zinc uptake regulation protein Zur CDS,124630,125115,486,reverse,PP_0119,10.83,14.38
zinc uptake regulation protein Zur,124630,125115,486,reverse,,10.83,14.38
zinc ABC transporter CDS,125182,126090,909,forward,PP_0120,57.93,76.95
zinc ABC transporter,125182,126090,909,forward,,57.93,76.95
thrB CDS,126140,127090,951,reverse,PP_0121,55.56,73.81
homoserine kinase,126140,127090,951,reverse,,55.56,73.81
hypothetical protein CDS,127160,127447,288,reverse,PP_0122,146.78,194.97
hypothetical protein,127160,127447,288,reverse,,146.78,194.97
polA CDS,127523,130270,2748,forward,PP_0123,24.62,32.7
DNA polymerase I,127523,130270,2748,forward,,24.62,32.7
engB CDS,130641,131273,633,reverse,PP_0124,365.4,485.37
GTP-binding protein,130641,131273,633,reverse,,365.4,485.37
cytochrome c-type protein CDS,131475,131777,303,forward,PP_0125,216.28,287.28
cytochrome c-type protein,131475,131777,303,forward,,216.28,287.28
cc CDS,131809,132426,618,forward,PP_0126,115.45,153.35
cytochrome c4,131809,132426,618,forward,,115.45,153.35
dsbA CDS,132578,133210,633,forward,PP_0127,50.38,66.92
thiol:disulfide interchange protein,132578,133210,633,forward,,50.38,66.92
hypothetical protein CDS,133223,134077,855,forward,PP_0128,19.16,25.45
hypothetical protein,133223,134077,855,forward,,19.16,25.45
GGDEF domain-containing protein CDS,134105,136042,1938,forward,PP_0129,7.19,9.55
GGDEF domain-containing protein,134105,136042,1938,forward,,7.19,9.55
amiD CDS,136116,136904,789,forward,PP_0130,22.58,29.99
"1,6-anhydro-N-acetylmuramyl-L-alanine amidase",136116,136904,789,forward,,22.58,29.99
membrane-anchored phosphodiesterase CDS,137100,138707,1608,forward,PP_0131,19.31,25.66
membrane-anchored phosphodiesterase,137100,138707,1608,forward,,19.31,25.66
kinB CDS,138722,140503,1782,reverse,PP_0132,18.08,24.01
alginate biosynthesis sensor protein KinB,138722,140503,1782,reverse,,18.08,24.01
algB CDS,140500,141846,1347,reverse,PP_0133,42.18,56.02
alginate biosynthesis transcriptional regulator AlgB,140500,141846,1347,reverse,,42.18,56.02
hypothetical protein CDS,142057,142878,822,forward,PP_0134,8.98,11.93
hypothetical protein,142057,142878,822,forward,,8.98,11.93
hypothetical protein CDS,143053,143343,291,forward,PP_5428,3.49,4.63
hypothetical protein,143053,143343,291,forward,,3.49,4.63
hypothetical protein CDS,143387,143548,162,forward,PP_0135,11.96,15.89
hypothetical protein,143387,143548,162,forward,,11.96,15.89
hypothetical protein CDS,143551,144021,471,forward,PP_0136,10.78,14.32
hypothetical protein,143551,144021,471,forward,,10.78,14.32
gltP CDS,144767,146095,1329,forward,PP_0137,8.4,11.16
glutamate/aspartate-proton DAACS transporter,144767,146095,1329,forward,,8.4,11.16
membrane protein CDS,146243,147472,1230,forward,PP_0138,13.36,17.74
membrane protein,146243,147472,1230,forward,,13.36,17.74
lipoprotein CDS,147454,148089,636,reverse,PP_0139,35.48,47.13
lipoprotein,147454,148089,636,reverse,,35.48,47.13
hypothetical protein CDS,148086,149024,939,reverse,PP_0140,18.04,23.96
hypothetical protein,148086,149024,939,reverse,,18.04,23.96
ABC transporter ATP-binding protein CDS,149028,149819,792,reverse,PP_0141,22.38,29.72
ABC transporter ATP-binding protein,149028,149819,792,reverse,,22.38,29.72
ABC transporter permease CDS,149816,150949,1134,reverse,PP_0142,18.8,24.97
ABC transporter permease,149816,150949,1134,reverse,,18.8,24.97
membrane protein CDS,151081,152106,1026,reverse,PP_0143,12.41,16.49
membrane protein,151081,152106,1026,reverse,,12.41,16.49
insulinase family metalloprotease CDS,152200,153606,1407,reverse,PP_0144,30.34,40.3
insulinase family metalloprotease,152200,153606,1407,reverse,,30.34,40.3
yjbB CDS,153637,155295,1659,reverse,PP_0145,14.27,18.96
Na /Pi-cotransporter,153637,155295,1659,reverse,,14.27,18.96
ygdQ CDS,155578,156375,798,reverse,PP_0146,36.2,48.09
transport protein,155578,156375,798,reverse,,36.2,48.09
citN CDS,156418,157725,1308,reverse,PP_0147,32.6,43.3
citrate transporter,156418,157725,1308,reverse,,32.6,43.3
hypothetical protein CDS,157990,158394,405,forward,PP_0148,75.43,100.2
hypothetical protein,157990,158394,405,forward,,75.43,100.2
hypothetical protein CDS,158433,160388,1956,reverse,PP_0149,5.59,7.43
hypothetical protein,158433,160388,1956,reverse,,5.59,7.43
hypothetical protein CDS,160385,160705,321,reverse,PP_0150,20.56,27.31
hypothetical protein,160385,160705,321,reverse,,20.56,27.31
hypothetical protein CDS,160742,161035,294,reverse,PP_0151,22.6,30.02
hypothetical protein,160742,161035,294,reverse,,22.6,30.02
hypothetical protein CDS,161125,161505,381,reverse,PP_0152,250.97,333.37
hypothetical protein,161125,161505,381,reverse,,250.97,333.37
hypothetical protein CDS,161751,161966,216,reverse,PP_0153,51.7,68.68
hypothetical protein,161751,161966,216,reverse,,51.7,68.68
scpC CDS,162340,163833,1494,reverse,PP_0154,8.77,11.65
acetate:succinate CoA transferase,162340,163833,1494,reverse,,8.77,11.65
pntB CDS,164020,165456,1437,reverse,PP_0155,10.47,13.91
pyridine nucleotide transhydrogenase subunit beta,164020,165456,1437,reverse,,10.47,13.91
pntAB CDS,165459,165773,315,reverse,PP_5747,12.16,16.15
pyridine nucleotide transhydrogenase subunit alpha,165459,165773,315,reverse,,12.16,16.15
pntAA CDS,165785,166906,1122,reverse,PP_0156,16,21.25
pyridine nucleotide transhydrogenase subunit alpha,165785,166906,1122,reverse,,16,21.25
gcdR CDS,167326,168243,918,reverse,PP_0157,15.18,20.17
gcdH transcriptional regulator,167326,168243,918,reverse,,15.18,20.17
gcdH CDS,168404,169585,1182,forward,PP_0158,78.32,104.03
glutaryl-CoA dehydrogenase,168404,169585,1182,forward,,78.32,104.03
family III CoA-transferase CDS,169599,170819,1221,forward,PP_0159,63.27,84.04
family III CoA-transferase,169599,170819,1221,forward,,63.27,84.04
ferrioxamine receptor CDS,182076,184562,2487,reverse,PP_0160,22.75,30.22
ferrioxamine receptor,182076,184562,2487,reverse,,22.75,30.22
putative transmembrane sensor CDS,184656,185612,957,reverse,PP_0161,53.86,71.55
putative transmembrane sensor,184656,185612,957,reverse,,53.86,71.55
ECF family RNA polymerase sigma-70 factor CDS,185617,186138,522,reverse,PP_0162,67.63,89.84
ECF family RNA polymerase sigma-70 factor,185617,186138,522,reverse,,67.63,89.84
transcriptional regulator CDS,186227,186916,690,reverse,PP_0163,17.26,22.92
transcriptional regulator,186227,186916,690,reverse,,17.26,22.92
hypothetical protein CDS,187189,187881,693,forward,PP_0164,26.37,35.03
hypothetical protein,187189,187881,693,forward,,26.37,35.03
GGDEF domain-containing protein CDS,187892,189838,1947,forward,PP_0165,31.38,41.69
GGDEF domain-containing protein,187892,189838,1947,forward,,31.38,41.69
HlyD family secretion protein CDS,189995,191371,1377,reverse,PP_0166,294.76,391.53
HlyD family secretion protein,189995,191371,1377,reverse,,294.76,391.53
paxB CDS,191361,193517,2157,reverse,PP_0167,208.37,276.77
toxin secretion ATP-binding protein,191361,193517,2157,reverse,,208.37,276.77
hypothetical protein CDS,193581,193796,216,reverse,PP_5429,3250.96,4318.25
hypothetical protein,193581,193796,216,reverse,,3250.96,4318.25
hypothetical protein CDS,193882,194085,204,reverse,PP_5430,39.82,52.89
hypothetical protein,193882,194085,204,reverse,,39.82,52.89
putative surface adhesion protein CDS,194495,220543,26049,forward,PP_0168,214.88,285.42
putative surface adhesion protein,194495,220543,26049,forward,,214.88,285.42
hypothetical protein CDS,220671,221030,360,forward,PP_5431,96.66,128.39
hypothetical protein,220671,221030,360,forward,,96.66,128.39
TauD/TfdA family dioxygenase CDS,221229,222128,900,forward,PP_0169,6.92,9.2
TauD/TfdA family dioxygenase,221229,222128,900,forward,,6.92,9.2
ABC transporter substrate-binding protein CDS,222146,223165,1020,forward,PP_0170,2.85,3.79
ABC transporter substrate-binding protein,222146,223165,1020,forward,,2.85,3.79
ABC transporter ATP-binding protein CDS,223172,224035,864,forward,PP_0171,4.22,5.6
ABC transporter ATP-binding protein,223172,224035,864,forward,,4.22,5.6
ABC transporter permease CDS,224050,224913,864,forward,PP_0172,7.74,10.29
ABC transporter permease,224050,224913,864,forward,,7.74,10.29
transcriptional factor-like protein CDS,225031,225660,630,reverse,PP_0173,31.94,42.42
transcriptional factor-like protein,225031,225660,630,reverse,,31.94,42.42
hypothetical protein CDS,225775,226593,819,forward,PP_0174,17.69,23.5
hypothetical protein,225775,226593,819,forward,,17.69,23.5
transcriptional regulator CDS,226726,227178,453,forward,PP_0175,12.43,16.51
transcriptional regulator,226726,227178,453,forward,,12.43,16.51
putative efflux transporter CDS,227175,229262,2088,forward,PP_0176,10.96,14.56
putative efflux transporter,227175,229262,2088,forward,,10.96,14.56
hypothetical protein CDS,229259,229471,213,forward,PP_0177,8.67,11.51
hypothetical protein,229259,229471,213,forward,,8.67,11.51
efflux pump CDS,229468,230343,876,forward,PP_0178,2.42,3.22
efflux pump,229468,230343,876,forward,,2.42,3.22
putative efflux transporter CDS,230340,231758,1419,forward,PP_0179,5.46,7.26
putative efflux transporter,230340,231758,1419,forward,,5.46,7.26
cytochrome c family protein CDS,231902,233812,1911,forward,PP_0180,26.47,35.16
cytochrome c family protein,231902,233812,1911,forward,,26.47,35.16
hypothetical protein CDS,233875,234120,246,reverse,PP_0181,2475.93,3288.78
hypothetical protein,233875,234120,246,reverse,,2475.93,3288.78
hypothetical protein CDS,234190,234492,303,reverse,PP_0182,323.81,430.11
hypothetical protein,234190,234492,303,reverse,,323.81,430.11
glutathione S-transferase CDS,234641,235303,663,forward,PP_0183,19.49,25.89
glutathione S-transferase,234641,235303,663,forward,,19.49,25.89
argH CDS,235428,236834,1407,reverse,PP_0184,44.08,58.56
argininosuccinate lyase,235428,236834,1407,reverse,,44.08,58.56
algR CDS,237120,237863,744,forward,PP_0185,483.58,642.33
alginate biosynthesis regulatory protein,237120,237863,744,forward,,483.58,642.33
hemC CDS,237982,238923,942,forward,PP_0186,29.1,38.65
porphobilinogen deaminase,237982,238923,942,forward,,29.1,38.65
hemD CDS,238920,239687,768,forward,PP_0187,36.66,48.69
uroporphyrinogen-III synthase,238920,239687,768,forward,,36.66,48.69
uroporphyrin-III C-methyltransferase CDS,239706,240833,1128,forward,PP_0188,100.6,133.63
uroporphyrin-III C-methyltransferase,239706,240833,1128,forward,,100.6,133.63
heme biosynthesis protein CDS,240830,242068,1239,forward,PP_0189,39.97,53.09
heme biosynthesis protein,240830,242068,1239,forward,,39.97,53.09
disulfide bond formation protein B CDS,242291,242797,507,forward,PP_0190,19.48,25.87
disulfide bond formation protein B,242291,242797,507,forward,,19.48,25.87
algQ CDS,243029,243499,471,forward,PP_0191,1735.55,2305.33
transcriptional regulator AlgQ,243029,243499,471,forward,,1735.55,2305.33
fkl CDS,243508,244170,663,reverse,PP_0192,111.44,148.03
