Name,Minimum,Maximum,Length,Direction,locus_tag,TPM,RPKM
hypothetical protein CDS,20198,22114,1917,forward,PP_0016,21.05,28.50
hypothetical protein,20198,22114,1917,forward,,21.05,28.50
transcriptional regulator CDS,22171,22530,360,forward,PP_0017,469.97,636.27
transcriptional regulator,22171,22530,360,forward,,469.97,636.27
hypothetical protein CDS,23176,24018,843,forward,PP_0018,160.88,217.81
hypothetical protein,23176,24018,843,forward,,160.88,217.81
hypothetical protein CDS,24000,24698,699,forward,PP_0019,443.58,600.54
hypothetical protein,24000,24698,699,forward,,443.58,600.54
hypothetical protein CDS,24695,25570,876,forward,PP_0020,205.95,278.82
hypothetical protein,24695,25570,876,forward,,205.95,278.82
hypothetical protein CDS,25881,26804,924,forward,PP_0021,23.30,31.55
hypothetical protein,25881,26804,924,forward,,23.30,31.55
hypothetical protein CDS,26989,27153,165,reverse,PP_0022,166.69,225.68
hypothetical protein,26989,27153,165,reverse,,166.69,225.68
hypothetical protein CDS,27599,27727,129,reverse,PP_0023,708.38,959.03
hypothetical protein,27599,27727,129,reverse,,708.38,959.03
membrane-associated metal-dependent hydrolase CDS,27850,29547,1698,reverse,PP_0024,2.13,2.89
membrane-associated metal-dependent hydrolase,27850,29547,1698,reverse,,2.13,2.89
hypothetical protein CDS,29990,30142,153,reverse,PP_0025,13.01,17.61
hypothetical protein,29990,30142,153,reverse,,13.01,17.61
cobalt/cadmium/zinc exporter CDS,30431,31336,906,forward,PP_0026,112.45,152.23
cobalt/cadmium/zinc exporter,30431,31336,906,forward,,112.45,152.23
membrane protein CDS,31404,31844,441,forward,PP_0027,23.80,32.22
membrane protein,31404,31844,441,forward,,23.80,32.22
hypothetical protein CDS,31877,32203,327,reverse,PP_0028,9.96,13.49
hypothetical protein,31877,32203,327,reverse,,9.96,13.49
hypothetical protein CDS,32402,32575,174,forward,PP_5422,5.20,7.04
hypothetical protein,32402,32575,174,forward,,5.20,7.04
czcR-I CDS,32893,33567,675,forward,PP_0029,132.30,179.11
heavy metal two-component system response regulator,32893,33567,675,forward,,132.30,179.11
czrSA CDS,33564,34982,1419,forward,PP_0030,84.10,113.86
metal-sensor histidine kinase,33564,34982,1419,forward,,84.10,113.86
hypothetical protein CDS,35040,35627,588,reverse,PP_0031,3.69,5.00
hypothetical protein,35040,35627,588,reverse,,3.69,5.00
hypothetical protein CDS,35894,36115,222,forward,PP_0032,74.17,100.42
hypothetical protein,35894,36115,222,forward,,74.17,100.42
undecaprenyl-glycosyl transferase CDS,36198,37652,1455,reverse,PP_0033,2.98,4.04
undecaprenyl-glycosyl transferase,36198,37652,1455,reverse,,2.98,4.04
bactoprenol glycosyl-transferase CDS,37646,38629,984,reverse,PP_0034,1.47,1.99
bactoprenol glycosyl-transferase,37646,38629,984,reverse,,1.47,1.99
bactoprenol-linked glycose transferase CDS,38595,39014,420,reverse,PP_0035,6.46,8.75
bactoprenol-linked glycose transferase,38595,39014,420,reverse,,6.46,8.75
transcriptional regulator CDS,39272,40240,969,forward,PP_0036,1.49,2.02
transcriptional regulator,39272,40240,969,forward,,1.49,2.02
oprP CDS,40469,41758,1290,forward,PP_0037,3.23,4.37
porin P,40469,41758,1290,forward,,3.23,4.37
hypothetical protein CDS,42057,43082,1026,forward,PP_0039,24.51,33.19
hypothetical protein,42057,43082,1026,forward,,24.51,33.19
hypothetical protein CDS,43210,43434,225,forward,PP_0040,15.28,20.69
hypothetical protein,43210,43434,225,forward,,15.28,20.69
cadA-I CDS,43527,45524,1998,reverse,PP_0041,8.15,11.04
cadmium translocating P-type ATPase,43527,45524,1998,reverse,,8.15,11.04
hypothetical protein CDS,45727,46050,324,reverse,PP_0042,9.49,12.85
hypothetical protein,45727,46050,324,reverse,,9.49,12.85
czcA-I CDS,46213,49374,3162,reverse,PP_0043,1.95,2.63
cation efflux system protein,46213,49374,3162,reverse,,1.95,2.63
czcB-I CDS,49399,50649,1251,reverse,PP_0044,7.52,10.18
cobalt-zinc-cadmium resistance protein,49399,50649,1251,reverse,,7.52,10.18
czcC-I CDS,50718,51989,1272,reverse,PP_0045,5.12,6.93
cobalt-zinc-cadmium resistance protein,50718,51989,1272,reverse,,5.12,6.93
opdT-I CDS,52394,53737,1344,forward,PP_0046,1.62,2.19
tyrosine-specific outer membrane porin D,52394,53737,1344,forward,,1.62,2.19
czcR-II CDS,54227,54901,675,forward,PP_0047,1.07,1.45
response regulator,54227,54901,675,forward,,1.07,1.45
hypothetical protein CDS,55019,55342,324,forward,PP_0048,3.35,4.54
hypothetical protein,55019,55342,324,forward,,3.35,4.54
membrane protein CDS,55444,55971,528,reverse,PP_5423,0.69,0.93
membrane protein,55444,55971,528,reverse,,0.69,0.93
hypothetical protein CDS,56161,57627,1467,reverse,PP_0049,66.05,89.43
hypothetical protein,56161,57627,1467,reverse,,66.05,89.43
hypothetical protein CDS,57640,58089,450,reverse,PP_5424,244.28,330.72
hypothetical protein,57640,58089,450,reverse,,244.28,330.72
hypothetical protein CDS,58777,59184,408,reverse,PP_0050,8.43,11.41
hypothetical protein,58777,59184,408,reverse,,8.43,11.41
sigma-54 dependent transcriptional regulator CDS,59316,60608,1293,reverse,PP_0051,10.22,13.83
sigma-54 dependent transcriptional regulator,59316,60608,1293,reverse,,10.22,13.83
beta-lactamase domain-containing protein CDS,60831,61715,885,forward,PP_0052,129.32,175.09
beta-lactamase domain-containing protein,60831,61715,885,forward,,129.32,175.09
sulfide:quinone oxidoreductase CDS,61756,63024,1269,forward,PP_0053,36.93,50.00
sulfide:quinone oxidoreductase,61756,63024,1269,forward,,36.93,50.00
membrane protein CDS,62982,63839,858,forward,PP_0054,22.25,30.12
membrane protein,62982,63839,858,forward,,22.25,30.12
transcriptional regulator CDS,63828,64715,888,reverse,PP_0055,10.60,14.35
transcriptional regulator,63828,64715,888,reverse,,10.60,14.35
betA-I CDS,64943,66595,1653,forward,PP_0056,24.63,33.35
choline dehydrogenase,64943,66595,1653,forward,,24.63,33.35
major facilitator family transporter CDS,66693,68312,1620,forward,PP_0057,19.66,26.62
major facilitator family transporter,66693,68312,1620,forward,,19.66,26.62
1-acyl-sn-glycerol-3-phosphate acyltransferase CDS,68487,69272,786,reverse,PP_0058,6.91,9.35
1-acyl-sn-glycerol-3-phosphate acyltransferase,68487,69272,786,reverse,,6.91,9.35
gmhB CDS,69319,69846,528,reverse,PP_0059,5.65,7.66
"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",69319,69846,528,reverse,,5.65,7.66
glyS CDS,69850,71904,2055,reverse,PP_0060,6.08,8.23
glycine-tRNA ligase subunit beta,69850,71904,2055,reverse,,6.08,8.23
glyQ CDS,71901,72848,948,reverse,PP_0061,15.17,20.54
glycine-tRNA ligase subunit alpha,71901,72848,948,reverse,,15.17,20.54
tag CDS,72932,73483,552,forward,PP_0062,7.38,9.99
3-methyl-adenine DNA glycosylase I,72932,73483,552,forward,,7.38,9.99
lipid A biosynthesis lauroyl acyltransferase CDS,73525,74412,888,forward,PP_0063,13.35,18.07
lipid A biosynthesis lauroyl acyltransferase,73525,74412,888,forward,,13.35,18.07
hypothetical protein CDS,74510,74824,315,reverse,PP_0064,32.46,43.94
hypothetical protein,74510,74824,315,reverse,,32.46,43.94
trkA CDS,74836,76209,1374,reverse,PP_0065,12.25,16.58
TrK potassium transporter NAD-binding protein,74836,76209,1374,reverse,,12.25,16.58
rsmB CDS,76233,77543,1311,reverse,PP_0066,2.55,3.46
ribosomal RNA small subunit methyltransferase B,76233,77543,1311,reverse,,2.55,3.46
fmt CDS,77540,78472,933,reverse,PP_0067,2.33,3.15
methionyl-tRNA formyltransferase,77540,78472,933,reverse,,2.33,3.15
def-I CDS,78533,79039,507,reverse,PP_0068,118.49,160.42
peptide deformylase,78533,79039,507,reverse,,118.49,160.42
rossmann fold nucleotide-binding protein CDS,79246,80343,1098,forward,PP_0069,12.20,16.51
rossmann fold nucleotide-binding protein,79246,80343,1098,forward,,12.20,16.51
tsaC CDS,80386,80943,558,forward,PP_0070,12.97,17.56
threonylcarbamoyl-AMP synthase,80386,80943,558,forward,,12.97,17.56
hypothetical protein CDS,81077,81277,201,forward,PP_5425,73.82,99.94
hypothetical protein,81077,81277,201,forward,,73.82,99.94
hypothetical protein CDS,81691,82023,333,forward,PP_0071,5.43,7.36
hypothetical protein,81691,82023,333,forward,,5.43,7.36
qor-I CDS,82151,83128,978,reverse,PP_0072,38.48,52.10
quinone oxidoreductase,82151,83128,978,reverse,,38.48,52.10
hemF CDS,83261,84172,912,forward,PP_0073,15.77,21.36
coproporphyrinogen-III oxidase,83261,84172,912,forward,,15.77,21.36
aroE CDS,84198,85022,825,forward,PP_0074,6.03,8.17
shikimate 5-dehydrogenase,84198,85022,825,forward,,6.03,8.17
choline sulfate transporter CDS,85152,86717,1566,reverse,PP_0075,9.71,13.14
choline sulfate transporter,85152,86717,1566,reverse,,9.71,13.14
choline betaine-binding protein CDS,86862,87785,924,reverse,PP_0076,70.01,94.78
choline betaine-binding protein,86862,87785,924,reverse,,70.01,94.78
betC CDS,87800,89317,1518,reverse,PP_0077,5.07,6.86
choline-sulfatase,87800,89317,1518,reverse,,5.07,6.86
transcriptional regulator CDS,89426,90325,900,forward,PP_0079,6.43,8.71
transcriptional regulator,89426,90325,900,forward,,6.43,8.71
hypothetical protein CDS,90447,91064,618,reverse,PP_0080,14.79,20.02
hypothetical protein,90447,91064,618,reverse,,14.79,20.02
hypothetical protein CDS,91078,91449,372,forward,PP_0081,28.46,38.53
hypothetical protein,91078,91449,372,forward,,28.46,38.53
trpA CDS,91570,92379,810,reverse,PP_0082,7.37,9.98
tryptophan synthase subunit alpha,91570,92379,810,reverse,,7.37,9.98
trpB CDS,92376,93593,1218,reverse,PP_0083,22.73,30.77
tryptophan synthase subunit beta,92376,93593,1218,reverse,,22.73,30.77
trpI CDS,93704,94600,897,forward,PP_0084,7.67,10.38
HTH-type transcriptional regulator TrpI,93704,94600,897,forward,,7.67,10.38
hypothetical protein CDS,94597,95085,489,reverse,PP_0085,251.81,340.92
hypothetical protein,94597,95085,489,reverse,,251.81,340.92
hypothetical protein CDS,95071,95286,216,forward,PP_0086,516.47,699.22
hypothetical protein,95071,95286,216,forward,,516.47,699.22
hypothetical protein CDS,95345,95608,264,forward,PP_0087,244.01,330.35
hypothetical protein,95345,95608,264,forward,,244.01,330.35
alkanal monooxygenase CDS,95680,96684,1005,reverse,PP_0088,11.16,15.11
alkanal monooxygenase,95680,96684,1005,reverse,,11.16,15.11
osmC CDS,96837,97262,426,forward,PP_0089,24.64,33.35
stress-induced peroxiredoxin,96837,97262,426,forward,,24.64,33.35
hypothetical protein CDS,97275,97571,297,forward,PP_0090,262.90,355.92
hypothetical protein,97275,97571,297,forward,,262.90,355.92
putative lipoprotein CDS,97607,98020,414,reverse,PP_0091,311.86,422.21
putative lipoprotein,97607,98020,414,reverse,,311.86,422.21
putative lipoprotein CDS,98076,98489,414,reverse,PP_0092,40.21,54.44
putative lipoprotein,98076,98489,414,reverse,,40.21,54.44
zinc protease CDS,98575,99651,1077,forward,PP_0093,14.95,20.24
zinc protease,98575,99651,1077,forward,,14.95,20.24
5'-nucleotidase CDS,99758,100408,651,reverse,PP_0094,26.96,36.50
5'-nucleotidase,99758,100408,651,reverse,,26.96,36.50
hypothetical protein CDS,100530,101078,549,reverse,PP_0095,11.54,15.62
hypothetical protein,100530,101078,549,reverse,,11.54,15.62
prlC CDS,101181,103232,2052,forward,PP_0096,74.25,100.52
oligopeptidase A,101181,103232,2052,forward,,74.25,100.52
hypothetical protein CDS,103229,103510,282,forward,PP_0097,54.22,73.41
hypothetical protein,103229,103510,282,forward,,54.22,73.41
hypothetical protein CDS,103529,103702,174,forward,PP_0098,17.16,23.23
hypothetical protein,103529,103702,174,forward,,17.16,23.23
hypothetical protein CDS,103842,104900,1059,forward,PP_0099,11.62,15.73
hypothetical protein,103842,104900,1059,forward,,11.62,15.73
cynT CDS,105207,105926,720,forward,PP_0100,151.04,204.49
carbonic anhydrase,105207,105926,720,forward,,151.04,204.49
sulfate transporter CDS,106134,107651,1518,forward,PP_0101,2.74,3.71
sulfate transporter,106134,107651,1518,forward,,2.74,3.71
hypothetical protein CDS,107799,108440,642,reverse,PP_5426,32.13,43.50
hypothetical protein,107799,108440,642,reverse,,32.13,43.50
cytochrome c oxidase subunit 2 CDS,108810,109937,1128,forward,PP_0103,571.25,773.38
cytochrome c oxidase subunit 2,108810,109937,1128,forward,,571.25,773.38
ctaD CDS,109981,111570,1590,forward,PP_0104,142.14,192.44
cytochrome c oxidase subunit 1,109981,111570,1590,forward,,142.14,192.44
cytochrome c oxidase assembly protein CDS,111580,112146,567,forward,PP_0105,515.57,698.00
cytochrome c oxidase assembly protein,111580,112146,567,forward,,515.57,698.00
cytochrome c oxidase subunit 3 CDS,112163,113050,888,forward,PP_0106,390.13,528.17
cytochrome c oxidase subunit 3,112163,113050,888,forward,,390.13,528.17
hypothetical protein CDS,113082,113285,204,reverse,PP_5427,862.18,1167.26
hypothetical protein,113082,113285,204,reverse,,862.18,1167.26
hypothetical protein CDS,113337,114074,738,forward,PP_0107,127.13,172.12
hypothetical protein,113337,114074,738,forward,,127.13,172.12
hypothetical protein CDS,114043,114624,582,forward,PP_0108,76.02,102.92
hypothetical protein,114043,114624,582,forward,,76.02,102.92
membrane protein CDS,114634,115713,1080,forward,PP_0109,88.47,119.77
membrane protein,114634,115713,1080,forward,,88.47,119.77
CyoE-like protoheme IX farnesyltransferase CDS,115698,116591,894,forward,PP_0110,137.84,186.61
CyoE-like protoheme IX farnesyltransferase,115698,116591,894,forward,,137.84,186.61
electron transport protein SCO1/SenC CDS,116588,117220,633,forward,PP_0111,115.77,156.74
electron transport protein SCO1/SenC,116588,117220,633,forward,,115.77,156.74
metQ CDS,117314,118084,771,reverse,PP_0112,44.36,60.05
methionine ABC transporter substrate-binding protein,117314,118084,771,reverse,,44.36,60.05
metI CDS,118149,118820,672,reverse,PP_0113,17.50,23.70
ABC transporter permease,118149,118820,672,reverse,,17.50,23.70
metN CDS,118820,119827,1008,reverse,PP_0114,10.23,13.85
methionine ABC transporter ATP-binding protein,118820,119827,1008,reverse,,10.23,13.85
katE CDS,120055,122190,2136,forward,PP_0115,12.96,17.55
hydroperoxidase,120055,122190,2136,forward,,12.96,17.55
putative lipoprotein CDS,122251,122958,708,reverse,PP_0116,58.78,79.58
putative lipoprotein,122251,122958,708,reverse,,58.78,79.58
znuB CDS,123085,123867,783,reverse,PP_0117,17.33,23.47
zinc ABC transporter permease,123085,123867,783,reverse,,17.33,23.47
znuC CDS,123860,124633,774,reverse,PP_0118,27.70,37.51
zinc ABC transporter ATP-binding protein,123860,124633,774,reverse,,27.70,37.51
zinc uptake regulation protein Zur CDS,124630,125115,486,reverse,PP_0119,9.49,12.85
zinc uptake regulation protein Zur,124630,125115,486,reverse,,9.49,12.85
zinc ABC transporter CDS,125182,126090,909,forward,PP_0120,43.89,59.43
zinc ABC transporter,125182,126090,909,forward,,43.89,59.43
thrB CDS,126140,127090,951,reverse,PP_0121,51.85,70.20
homoserine kinase,126140,127090,951,reverse,,51.85,70.20
hypothetical protein CDS,127160,127447,288,reverse,PP_0122,151.42,205.00
hypothetical protein,127160,127447,288,reverse,,151.42,205.00
polA CDS,127523,130270,2748,forward,PP_0123,20.94,28.35
DNA polymerase I,127523,130270,2748,forward,,20.94,28.35
engB CDS,130641,131273,633,reverse,PP_0124,293.01,396.69
GTP-binding protein,130641,131273,633,reverse,,293.01,396.69
cytochrome c-type protein CDS,131475,131777,303,forward,PP_0125,181.85,246.19
cytochrome c-type protein,131475,131777,303,forward,,181.85,246.19
cc CDS,131809,132426,618,forward,PP_0126,110.83,150.04
cytochrome c4,131809,132426,618,forward,,110.83,150.04
dsbA CDS,132578,133210,633,forward,PP_0127,64.75,87.66
thiol:disulfide interchange protein,132578,133210,633,forward,,64.75,87.66
hypothetical protein CDS,133223,134077,855,forward,PP_0128,14.50,19.63
hypothetical protein,133223,134077,855,forward,,14.50,19.63
GGDEF domain-containing protein CDS,134105,136042,1938,forward,PP_0129,5.42,7.33
GGDEF domain-containing protein,134105,136042,1938,forward,,5.42,7.33
amiD CDS,136116,136904,789,forward,PP_0130,18.35,24.84
"1,6-anhydro-N-acetylmuramyl-L-alanine amidase",136116,136904,789,forward,,18.35,24.84
membrane-anchored phosphodiesterase CDS,137100,138707,1608,forward,PP_0131,16.09,21.79
membrane-anchored phosphodiesterase,137100,138707,1608,forward,,16.09,21.79
kinB CDS,138722,140503,1782,reverse,PP_0132,16.91,22.89
alginate biosynthesis sensor protein KinB,138722,140503,1782,reverse,,16.91,22.89
algB CDS,140500,141846,1347,reverse,PP_0133,41.85,56.65
alginate biosynthesis transcriptional regulator AlgB,140500,141846,1347,reverse,,41.85,56.65
hypothetical protein CDS,142057,142878,822,forward,PP_0134,8.15,11.03
hypothetical protein,142057,142878,822,forward,,8.15,11.03
hypothetical protein CDS,143053,143343,291,forward,PP_5428,5.60,7.58
hypothetical protein,143053,143343,291,forward,,5.60,7.58
hypothetical protein CDS,143387,143548,162,forward,PP_0135,11.73,15.88
hypothetical protein,143387,143548,162,forward,,11.73,15.88
hypothetical protein CDS,143551,144021,471,forward,PP_0136,12.10,16.38
hypothetical protein,143551,144021,471,forward,,12.10,16.38
gltP CDS,144767,146095,1329,forward,PP_0137,6.67,9.03
glutamate/aspartate-proton DAACS transporter,144767,146095,1329,forward,,6.67,9.03
membrane protein CDS,146243,147472,1230,forward,PP_0138,10.81,14.64
membrane protein,146243,147472,1230,forward,,10.81,14.64
lipoprotein CDS,147454,148089,636,reverse,PP_0139,29.45,39.87
lipoprotein,147454,148089,636,reverse,,29.45,39.87
hypothetical protein CDS,148086,149024,939,reverse,PP_0140,16.67,22.57
hypothetical protein,148086,149024,939,reverse,,16.67,22.57
ABC transporter ATP-binding protein CDS,149028,149819,792,reverse,PP_0141,20.22,27.37
ABC transporter ATP-binding protein,149028,149819,792,reverse,,20.22,27.37
ABC transporter permease CDS,149816,150949,1134,reverse,PP_0142,19.95,27.00
ABC transporter permease,149816,150949,1134,reverse,,19.95,27.00
membrane protein CDS,151081,152106,1026,reverse,PP_0143,9.35,12.65
membrane protein,151081,152106,1026,reverse,,9.35,12.65
insulinase family metalloprotease CDS,152200,153606,1407,reverse,PP_0144,28.62,38.74
insulinase family metalloprotease,152200,153606,1407,reverse,,28.62,38.74
yjbB CDS,153637,155295,1659,reverse,PP_0145,16.85,22.81
Na /Pi-cotransporter,153637,155295,1659,reverse,,16.85,22.81
ygdQ CDS,155578,156375,798,reverse,PP_0146,31.97,43.29
transport protein,155578,156375,798,reverse,,31.97,43.29
citN CDS,156418,157725,1308,reverse,PP_0147,21.17,28.66
citrate transporter,156418,157725,1308,reverse,,21.17,28.66
hypothetical protein CDS,157990,158394,405,forward,PP_0148,63.22,85.59
hypothetical protein,157990,158394,405,forward,,63.22,85.59
hypothetical protein CDS,158433,160388,1956,reverse,PP_0149,5.83,7.89
hypothetical protein,158433,160388,1956,reverse,,5.83,7.89
hypothetical protein CDS,160385,160705,321,reverse,PP_0150,29.31,39.69
hypothetical protein,160385,160705,321,reverse,,29.31,39.69
hypothetical protein CDS,160742,161035,294,reverse,PP_0151,33.54,45.41
hypothetical protein,160742,161035,294,reverse,,33.54,45.41
hypothetical protein CDS,161125,161505,381,reverse,PP_0152,259.32,351.08
hypothetical protein,161125,161505,381,reverse,,259.32,351.08
hypothetical protein CDS,161751,161966,216,reverse,PP_0153,105.56,142.91
hypothetical protein,161751,161966,216,reverse,,105.56,142.91
scpC CDS,162340,163833,1494,reverse,PP_0154,6.66,9.02
acetate:succinate CoA transferase,162340,163833,1494,reverse,,6.66,9.02
pntB CDS,164020,165456,1437,reverse,PP_0155,7.18,9.72
pyridine nucleotide transhydrogenase subunit beta,164020,165456,1437,reverse,,7.18,9.72
pntAB CDS,165459,165773,315,reverse,PP_5747,14.07,19.05
pyridine nucleotide transhydrogenase subunit alpha,165459,165773,315,reverse,,14.07,19.05
pntAA CDS,165785,166906,1122,reverse,PP_0156,14.92,20.20
pyridine nucleotide transhydrogenase subunit alpha,165785,166906,1122,reverse,,14.92,20.20
gcdR CDS,167326,168243,918,reverse,PP_0157,15.18,20.55
gcdH transcriptional regulator,167326,168243,918,reverse,,15.18,20.55
gcdH CDS,168404,169585,1182,forward,PP_0158,66.13,89.54
glutaryl-CoA dehydrogenase,168404,169585,1182,forward,,66.13,89.54
family III CoA-transferase CDS,169599,170819,1221,forward,PP_0159,49.20,66.61
family III CoA-transferase,169599,170819,1221,forward,,49.20,66.61
ferrioxamine receptor CDS,182076,184562,2487,reverse,PP_0160,21.83,29.55
ferrioxamine receptor,182076,184562,2487,reverse,,21.83,29.55
putative transmembrane sensor CDS,184656,185612,957,reverse,PP_0161,55.59,75.26
putative transmembrane sensor,184656,185612,957,reverse,,55.59,75.26
ECF family RNA polymerase sigma-70 factor CDS,185617,186138,522,reverse,PP_0162,55.81,75.56
ECF family RNA polymerase sigma-70 factor,185617,186138,522,reverse,,55.81,75.56
transcriptional regulator CDS,186227,186916,690,reverse,PP_0163,17.05,23.08
transcriptional regulator,186227,186916,690,reverse,,17.05,23.08
hypothetical protein CDS,187189,187881,693,forward,PP_0164,31.20,42.24
hypothetical protein,187189,187881,693,forward,,31.20,42.24
GGDEF domain-containing protein CDS,187892,189838,1947,forward,PP_0165,29.60,40.08
GGDEF domain-containing protein,187892,189838,1947,forward,,29.60,40.08
HlyD family secretion protein CDS,189995,191371,1377,reverse,PP_0166,264.86,358.58
HlyD family secretion protein,189995,191371,1377,reverse,,264.86,358.58
paxB CDS,191361,193517,2157,reverse,PP_0167,192.65,260.82
toxin secretion ATP-binding protein,191361,193517,2157,reverse,,192.65,260.82
hypothetical protein CDS,193581,193796,216,reverse,PP_5429,3526.88,4774.86
hypothetical protein,193581,193796,216,reverse,,3526.88,4774.86
hypothetical protein CDS,193882,194085,204,reverse,PP_5430,36.37,49.24
hypothetical protein,193882,194085,204,reverse,,36.37,49.24
putative surface adhesion protein CDS,194495,220543,26049,forward,PP_0168,210.37,284.81
putative surface adhesion protein,194495,220543,26049,forward,,210.37,284.81
hypothetical protein CDS,220671,221030,360,forward,PP_5431,118.12,159.92
hypothetical protein,220671,221030,360,forward,,118.12,159.92
TauD/TfdA family dioxygenase CDS,221229,222128,900,forward,PP_0169,8.04,10.89
TauD/TfdA family dioxygenase,221229,222128,900,forward,,8.04,10.89
ABC transporter substrate-binding protein CDS,222146,223165,1020,forward,PP_0170,2.39,3.24
ABC transporter substrate-binding protein,222146,223165,1020,forward,,2.39,3.24
ABC transporter ATP-binding protein CDS,223172,224035,864,forward,PP_0171,3.25,4.39
ABC transporter ATP-binding protein,223172,224035,864,forward,,3.25,4.39
ABC transporter permease CDS,224050,224913,864,forward,PP_0172,5.65,7.66
ABC transporter permease,224050,224913,864,forward,,5.65,7.66
transcriptional factor-like protein CDS,225031,225660,630,reverse,PP_0173,33.89,45.89
transcriptional factor-like protein,225031,225660,630,reverse,,33.89,45.89
hypothetical protein CDS,225775,226593,819,forward,PP_0174,13.92,18.84
hypothetical protein,225775,226593,819,forward,,13.92,18.84
transcriptional regulator CDS,226726,227178,453,forward,PP_0175,6.39,8.65
transcriptional regulator,226726,227178,453,forward,,6.39,8.65
putative efflux transporter CDS,227175,229262,2088,forward,PP_0176,7.11,9.62
putative efflux transporter,227175,229262,2088,forward,,7.11,9.62
hypothetical protein CDS,229259,229471,213,forward,PP_0177,5.52,7.48
hypothetical protein,229259,229471,213,forward,,5.52,7.48
efflux pump CDS,229468,230343,876,forward,PP_0178,2.17,2.94
efflux pump,229468,230343,876,forward,,2.17,2.94
putative efflux transporter CDS,230340,231758,1419,forward,PP_0179,6.76,9.15
putative efflux transporter,230340,231758,1419,forward,,6.76,9.15
cytochrome c family protein CDS,231902,233812,1911,forward,PP_0180,29.16,39.48
cytochrome c family protein,231902,233812,1911,forward,,29.16,39.48
hypothetical protein CDS,233875,234120,246,reverse,PP_0181,2823.87,3823.10
hypothetical protein,233875,234120,246,reverse,,2823.87,3823.10
hypothetical protein CDS,234190,234492,303,reverse,PP_0182,346.97,469.75
hypothetical protein,234190,234492,303,reverse,,346.97,469.75
glutathione S-transferase CDS,234641,235303,663,forward,PP_0183,18.56,25.13
glutathione S-transferase,234641,235303,663,forward,,18.56,25.13
argH CDS,235428,236834,1407,reverse,PP_0184,35.24,47.71
argininosuccinate lyase,235428,236834,1407,reverse,,35.24,47.71
algR CDS,237120,237863,744,forward,PP_0185,475.73,644.06
alginate biosynthesis regulatory protein,237120,237863,744,forward,,475.73,644.06
hemC CDS,237982,238923,942,forward,PP_0186,27.18,36.80
porphobilinogen deaminase,237982,238923,942,forward,,27.18,36.80
hemD CDS,238920,239687,768,forward,PP_0187,29.92,40.51
uroporphyrinogen-III synthase,238920,239687,768,forward,,29.92,40.51
uroporphyrin-III C-methyltransferase CDS,239706,240833,1128,forward,PP_0188,71.23,96.43
uroporphyrin-III C-methyltransferase,239706,240833,1128,forward,,71.23,96.43
heme biosynthesis protein CDS,240830,242068,1239,forward,PP_0189,35.27,47.75
heme biosynthesis protein,240830,242068,1239,forward,,35.27,47.75
disulfide bond formation protein B CDS,242291,242797,507,forward,PP_0190,15.70,21.26
disulfide bond formation protein B,242291,242797,507,forward,,15.70,21.26
algQ CDS,243029,243499,471,forward,PP_0191,1368.66,1852.96
transcriptional regulator AlgQ,243029,243499,471,forward,,1368.66,1852.96
fkl CDS,243508,244170,663,reverse,PP_0192,91.57,123.97
